CountryCode,GDP_Decade_Start,GDP_Decade_End,GDP_Growth,Net_Decade_Start,Net_Decade_End,Net_Growth,CO2_Change,Score,Label
PRI,1990s,2010s,1.552,1990s,2010s,46.500,1.852,46.201,digital_con_mas_emisiones
RUS,1990s,2010s,3.454,1990s,2010s,227.348,-0.510,230.802,verde_digital
SDN,1990s,2010s,0.820,1990s,2010s,10349.210,1.134,10348.896,crecimiento_bajo_o_mixto
SST,1990s,2010s,1.773,2000s,2010s,1.050,0.214,2.609,crecimiento_bajo_o_mixto
STP,1990s,2010s,0.884,1990s,2010s,134.813,-0.015,135.697,crecimiento_bajo_o_mixto
SUR,1990s,2010s,3.804,1990s,2010s,54.625,-0.553,58.429,verde_digital
SVK,1990s,2010s,3.357,1990s,2010s,56.751,-0.518,60.108,verde_digital
SVN,1990s,2010s,1.511,1990s,2010s,14.133,-0.121,15.644,verde_digital
TEC,1990s,2010s,3.269,2000s,2010s,1.547,-0.483,4.815,crecimiento_bajo_o_mixto
TON,1990s,2010s,1.423,1990s,2010s,75.803,0.347,76.878,digital_con_mas_emisiones
TSA,1990s,2010s,3.536,2000s,2010s,4.091,0.117,7.510,crecimiento_bajo_o_mixto
TSS,1990s,2010s,1.213,2000s,2010s,3.905,-0.056,5.117,crecimiento_bajo_o_mixto
TTO,1990s,2010s,3.353,1990s,2010s,36.890,-0.069,40.242,verde_digital
TUN,1990s,2010s,1.093,1990s,2010s,196.629,0.510,197.212,digital_con_mas_emisiones
UMC,1990s,2010s,4.173,2000s,2010s,1.830,-0.053,6.003,crecimiento_bajo_o_mixto
URY,1990s,2010s,2.039,1990s,2010s,19.389,0.025,21.403,verde_digital
UZB,1990s,2010s,2.644,1990s,2010s,3661.566,-0.499,3664.210,verde_digital
VIR,2000s,2010s,-0.024,1990s,2010s,8.354,NA,8.331,digital_sin_datos_co2
VNM,1990s,2010s,9.488,1990s,2010s,1699.390,0.188,1708.690,digital_con_mas_emisiones
WSM,1990s,2010s,2.502,1990s,2010s,160.254,-0.174,162.757,verde_digital
